year,sex,age,idierp
2012,Male,7,29655
2012,Male,8,29727
2012,Male,9,29184
2012,Male,10,29082
2012,Male,11,30225
2012,Male,12,30810
2012,Male,13,30210
2012,Male,14,31062
2012,Male,15,30945
2012,Male,16,31980
2012,Male,17,32544
2012,Male,18,32625
2012,Male,19,33666
2012,Male,20,34341
2012,Male,21,35118
2012,Male,22,33720
2012,Male,23,32391
2012,Male,24,31248
2012,Male,25,29805
2012,Male,26,28374
2012,Male,27,27867
2012,Male,28,27912
2012,Male,29,27657
2012,Male,30,27249
2012,Male,31,27243
2012,Male,32,26784
2012,Male,33,26547
2012,Male,34,26082
2012,Male,35,26877
2012,Male,36,26730
2012,Male,37,27657
2012,Male,38,28947
2012,Male,39,30021
2012,Male,40,31278
2012,Male,41,31803
2012,Male,42,31113
2012,Male,43,31398
2012,Male,44,31020
2012,Male,45,30693
2012,Male,46,30864
2012,Male,47,31227
2012,Male,48,32229
2012,Male,49,32403
2012,Male,50,32490
2012,Male,51,31407
2012,Male,52,30384
2012,Male,53,29976
2012,Male,54,28320
2012,Male,55,27771
2012,Male,56,26772
2012,Male,57,25929
2012,Male,58,25221
2012,Male,59,24237
2012,Male,60,24141
2012,Male,61,23592
2012,Male,62,23397
2012,Male,63,23058
2012,Male,64,22980
2012,Male,65,23292
2012,Male,66,19464
2012,Male,67,18228
2012,Male,68,17469
2012,Male,69,15288
2012,Male,70,16956
2012,Male,71,16425
2012,Male,72,14901
2012,Male,73,13083
2012,Male,74,12483
2012,Male,75,11544
2012,Male,76,10677
2012,Male,77,10101
2012,Male,78,9378
2012,Male,79,8745
2012,Male,80,8592
2012,Male,81,8202
2012,Male,82,7095
2012,Male,83,6543
2012,Male,84,5805
2012,Male,85,5139
2012,Male,86,4266
2012,Male,87,3756
2012,Male,88,2964
2012,Male,89,2457
2012,Male,90,6936
2013,Female,0,29289
2013,Female,1,29445
2013,Female,2,29982
2013,Female,3,30594
2013,Female,4,29865
2013,Female,5,30528
2013,Female,6,29862
2013,Female,7,28752
2013,Female,8,28032
2013,Female,9,28368
2013,Female,10,27534
2013,Female,11,27924
2013,Female,12,28713
2013,Female,13,29265
2013,Female,14,28452
2013,Female,15,29454
2013,Female,16,29685
2013,Female,17,30024
2013,Female,18,30618
2013,Female,19,30714
2013,Female,20,31275
2013,Female,21,31446
2013,Female,22,31926
2013,Female,23,30945
2013,Female,24,29796
2013,Female,25,29181
2013,Female,26,28125
2013,Female,27,27900
2013,Female,28,28206
2013,Female,29,28188
2013,Female,30,28515
2013,Female,31,28290
2013,Female,32,27795
2013,Female,33,28056
2013,Female,34,28236
2013,Female,35,27435
2013,Female,36,27804
2013,Female,37,28038
2013,Female,38,29442
2013,Female,39,30699
2013,Female,40,31680
2013,Female,41,33237
2013,Female,42,33648
2013,Female,43,32502
2013,Female,44,32829
2013,Female,45,32439
2013,Female,46,32364
2013,Female,47,31830
2013,Female,48,32391
2013,Female,49,33516
2013,Female,50,34218
2013,Female,51,34218
2013,Female,52,33258
2013,Female,53,31701
2013,Female,54,31350
2013,Female,55,29676
2013,Female,56,28884
2013,Female,57,28215
2013,Female,58,27219
2013,Female,59,26715
2013,Female,60,25566
2013,Female,61,25110
2013,Female,62,24381
2013,Female,63,24552
2013,Female,64,23736
2013,Female,65,24480
2013,Female,66,24474
2013,Female,67,20505
